odds_home,odds_draw,odds_away,implied_home,implied_draw,implied_away,no_vig_home,no_vig_draw,no_vig_away,market_overround,line_dispersion_home,line_dispersion_draw,line_dispersion_away,book_count,elo_home,elo_away,elo_diff,form_pts_home_l5,form_pts_away_l5,form_gf_home_l5,form_gf_away_l5,form_ga_home_l5,form_ga_away_l5,rest_days_home,rest_days_away,league,home_team,away_team,label,kickoff_time
3.27,3.13,2.45,0.3058103975535168,0.3194888178913738,0.4081632653061224,0.29590856296136225,0.3091440897391868,0.39494734729945086,1.033462480751013,0.039051248379533166,0.03112474899497182,0.05431390245600107,4.0,1436.1832506316941,1490.8034383314255,-54.62018769973133,0.4,1.2,0.4,1.6,1.4,2.0,9.0,8.0,laliga,Cadiz,Espanol,1,2022-01-18
3.17,3.64,2.26,0.31545741324921134,0.2747252747252747,0.4424778761061947,0.30548025577992827,0.26603637659955287,0.42848336762051886,1.0326605640806807,0.05402545696243581,0.09522998477370456,0.04387482193696059,4.0,1453.1522010069345,1525.4465742254229,-72.29437321848832,1.0,2.4,0.6,2.6,1.4,1.0,3.0,3.0,ligue1,Clermont,Strasbourg,2,2022-01-19
1.5,4.48,6.69,0.6666666666666666,0.2232142857142857,0.14947683109118085,0.6414217291369724,0.214761739666397,0.14381653119663057,1.0393577834721333,0.026809513236909045,0.1510587634002078,0.3440203482353916,4.0,1527.347834968936,1443.547663763729,83.8001712052071,2.2,0.4,1.6,0.4,1.0,1.6,3.0,3.0,ligue1,Lille,Lorient,0,2022-01-19
3.13,3.47,2.38,0.3194888178913738,0.2881844380403458,0.42016806722689076,0.3108347667026734,0.28037833423036534,0.40878689906696125,1.0278413231586103,0.11715374513859977,0.07693341276714569,0.014790199457749025,4.0,1443.2996501807775,1569.046069575568,-125.74641939479056,0.4,2.6,0.8,1.8,1.6,0.2,3.0,4.0,championship,Hull,Blackburn,0,2022-01-19
1.88,3.42,4.75,0.5319148936170213,0.29239766081871343,0.21052631578947367,0.5140074546110376,0.282553805458699,0.2034387399302633,1.0348388702252085,0.044370598373247104,0.04815340071064554,0.22785686296444974,4.0,1483.9313019303245,1481.4265616646808,2.5047402656437043,1.4,1.0,1.2,1.0,0.8,1.2,11.0,10.0,laliga,Celta,Osasuna,0,2022-01-19
3.23,3.17,2.45,0.30959752321981426,0.31545741324921134,0.4081632653061224,0.299643891956125,0.3053153851792693,0.39504072286460556,1.0332182017751481,0.07762087348130009,0.04866980583482944,0.09120718173477357,4.0,1509.0425818466708,1586.1950766330713,-77.15249478640044,1.8,2.6,2.0,1.2,2.2,0.4,11.0,10.0,laliga,Valencia,Sevilla,1,2022-01-19
3.79,3.72,2.01,0.2638522427440633,0.26881720430107525,0.49751243781094534,0.25612199808864183,0.2609414980526754,0.4829365038586829,1.0301818848560838,0.11321991874224245,0.08135570047636505,0.03344772040064918,4.0,1459.9329864746342,1508.8127071019944,-48.87972062736026,0.4,1.6,0.8,1.6,2.6,1.0,4.0,4.0,championship,Reading,Luton,2,2022-01-19
3.12,3.41,2.38,0.3205128205128205,0.29325513196480935,0.42016806722689076,0.30999289550277687,0.283629863333919,0.40637724116330415,1.0339360197045206,0.08411301920630368,0.07628073151196181,0.060981554588252475,4.0,1503.765718389926,1536.5518979048175,-32.7861795148915,1.4,2.2,2.2,2.0,2.0,0.6,22.0,18.0,epl,Leicester,Tottenham,2,2022-01-19
4.68,3.46,1.88,0.2136752136752137,0.28901734104046245,0.5319148936170213,0.20652781305562612,0.2793497586995174,0.5141224282448564,1.0346074483326975,0.12497499749949983,0.15352117117844047,0.034186985827943286,4.0,1466.3591285653467,1520.0464959501553,-53.68736738480857,0.6,1.6,0.6,1.4,2.2,1.0,3.0,4.0,epl,Brentford,Man United,2,2022-01-19
1.75,4.18,4.44,0.5714285714285714,0.23923444976076558,0.2252252252252252,0.5516314847730069,0.23094619577817277,0.21742231944882026,1.0358882464145622,0.025980762113533184,0.13747727084867511,0.10871407452579455,4.0,1522.3749926104508,1437.4058533928658,84.96913921758505,2.4,0.8,2.6,1.0,1.0,1.2,3.0,3.0,ligue1,Montpellier,Troyes,2,2022-01-19
